priority_rank,word,url,candidate_pool,BD_IMPRESSIONS,BD_CLICKS,BD_CTR,BD_POSITION,tier,tier_score,migration_class,static_legacy_status,confidence,source_completeness_score,source_fields_present,BD_RELEVANT_QUERY_IMPRESSIONS,GLOBAL_CONTEXT_IMPRESSIONS,priority_score,reason,proposed_action
1,hosted,https://ovidhan.net/word/hosted.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,8.0,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,1,3,65.42,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
2,integration,https://ovidhan.net/word/integration.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,11.5,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,1,5,65.002,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
3,outright,https://ovidhan.net/word/outright.html,POOL A — OBSERVED BANGLADESH DEMAND,5,0,0.0,19.2,B,3,REVIEW,LEGACY,HIGH CONFIDENCE,1,bangla,4,5,58.97,Bangladesh demand + near-ranking opportunity + useful source,STATIC-UPGRADE PRIORITY
4,street,https://ovidhan.net/word/street.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,25.0,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,1,4,56.856,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
5,net-worth,https://ovidhan.net/word/net-worth.html,POOL A — OBSERVED BANGLADESH DEMAND,4,0,0.0,12.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,0,14,53.766,Bangladesh demand + near-ranking opportunity + useful source,STATIC-UPGRADE PRIORITY
6,tension,https://ovidhan.net/word/tension.html,POOL A — OBSERVED BANGLADESH DEMAND,9,0,0.0,54.22,B,3,REVIEW,LEGACY,HIGH CONFIDENCE,1,bangla,4,16,52.167,Bangladesh demand + near-ranking opportunity + useful source,STATIC-UPGRADE PRIORITY
7,provision,https://ovidhan.net/word/provision.html,POOL A — OBSERVED BANGLADESH DEMAND,2,0,0.0,68.0,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,0,3,49.944,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
8,sinuous,https://ovidhan.net/word/sinuous.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,9.0,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,1,0,48.711,Bangladesh demand + near-ranking opportunity + useful source,DATA QUALITY REVIEW
9,ugly,https://ovidhan.net/word/ugly.html,POOL A — OBSERVED BANGLADESH DEMAND,4,0,0.0,29.75,B,3,REVIEW,LEGACY,MEDIUM CONFIDENCE,1,bangla,2,7,48.009,Bangladesh demand + near-ranking opportunity + useful source,STATIC-UPGRADE PRIORITY
10,wide,https://ovidhan.net/word/wide.html,POOL A — OBSERVED BANGLADESH DEMAND,1,0,0.0,69.0,A,7,REVIEW,LEGACY,MEDIUM CONFIDENCE,4,bangla;definition;part_of_speech;example,2,0,47.325,Bangladesh demand + near-ranking opportunity + useful source,CONTENT REVIEW
