url,word,global_clicks,global_impressions,global_ctr,global_position,metric_scope,country_confidence,country_data_requirement,path,tier,tier_score,migration_class,batch_1,legacy_page,self_canonical,useful_without_javascript,indexability_signals_pass
https://ovidhan.net/word/unconventional.html,unconventional,0,43,0.0,10.47,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/unconventional.html,D,0,THIN-LEGACY,False,True,True,False,False
https://ovidhan.net/word/newsweek.html,newsweek,0,27,0.0,9.59,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/newsweek.html,D,0,THIN-LEGACY,False,True,True,False,False
https://ovidhan.net/word/tension.html,tension,0,16,0.0,55.81,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/tension.html,B,3,REVIEW,False,True,True,False,False
https://ovidhan.net/word/mayhem.html,mayhem,0,15,0.0,11.6,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/mayhem.html,B,3,REVIEW,False,True,True,False,False
https://ovidhan.net/word/net-worth.html,net-worth,0,14,0.0,13.36,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/net-worth.html,B,3,REVIEW,False,True,True,False,False
https://ovidhan.net/word/occlusion.html,occlusion,0,14,0.0,32.79,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/occlusion.html,D,0,THIN-LEGACY,False,True,True,False,False
https://ovidhan.net/word/ronin.html,ronin,0,12,0.0,22.17,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/ronin.html,D,0,THIN-LEGACY,False,True,True,False,False
https://ovidhan.net/word/shenanigans.html,shenanigans,0,12,0.0,10.83,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/shenanigans.html,D,0,THIN-LEGACY,False,True,True,False,False
https://ovidhan.net/word/slytherin.html,slytherin,1,12,0.083333,10.42,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/slytherin.html,D,0,THIN-LEGACY,False,True,True,False,False
https://ovidhan.net/word/spanned.html,spanned,0,12,0.0,67.92,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,word/spanned.html,D,0,THIN-LEGACY,False,True,True,False,False
