word,url,tier,tier_score,migration_class,static_legacy_status,global_clicks,global_impressions,global_ctr,global_position,metric_scope,country_confidence,country_data_requirement,priority_score,priority_basis
producing,https://ovidhan.net/word/producing.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,10,0.0,9.4,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,67.489,Phase 2B tier/quality + global impressions/position; clicks excluded from score
net,https://ovidhan.net/word/net.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,1,9,0.111111,4.78,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,67.013,Phase 2B tier/quality + global impressions/position; clicks excluded from score
translation,https://ovidhan.net/word/translation.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,1,9,0.111111,6.89,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,67.013,Phase 2B tier/quality + global impressions/position; clicks excluded from score
creating,https://ovidhan.net/word/creating.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,7,0.0,16.57,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,62.897,Phase 2B tier/quality + global impressions/position; clicks excluded from score
hosted,https://ovidhan.net/word/hosted.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,3,0.0,9.67,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,62.431,Phase 2B tier/quality + global impressions/position; clicks excluded from score
integration,https://ovidhan.net/word/integration.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,5,0.0,12.6,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,61.459,Phase 2B tier/quality + global impressions/position; clicks excluded from score
smaller,https://ovidhan.net/word/smaller.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,5,0.0,11.8,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,61.459,Phase 2B tier/quality + global impressions/position; clicks excluded from score
examples,https://ovidhan.net/word/examples.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,2,0.0,7.0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,60.993,Phase 2B tier/quality + global impressions/position; clicks excluded from score
faces,https://ovidhan.net/word/faces.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,2,0.0,15.5,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,57.993,Phase 2B tier/quality + global impressions/position; clicks excluded from score
must,https://ovidhan.net/word/must.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,4,0.0,73.75,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,57.547,Phase 2B tier/quality + global impressions/position; clicks excluded from score
street,https://ovidhan.net/word/street.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,4,0.0,32.75,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,57.547,Phase 2B tier/quality + global impressions/position; clicks excluded from score
provision,https://ovidhan.net/word/provision.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,3,0.0,74.67,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,56.431,Phase 2B tier/quality + global impressions/position; clicks excluded from score
creates,https://ovidhan.net/word/creates.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,2,0.0,67.5,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,54.993,Phase 2B tier/quality + global impressions/position; clicks excluded from score
establish,https://ovidhan.net/word/establish.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,2,0.0,85.5,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,54.993,Phase 2B tier/quality + global impressions/position; clicks excluded from score
having,https://ovidhan.net/word/having.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,2,0.0,53.5,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,54.993,Phase 2B tier/quality + global impressions/position; clicks excluded from score
organisations,https://ovidhan.net/word/organisations.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,2,0.0,61.5,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,54.993,Phase 2B tier/quality + global impressions/position; clicks excluded from score
unable,https://ovidhan.net/word/unable.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,2,0.0,74.0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,LOW,Bangladesh-filtered GSC page/query export required,54.993,Phase 2B tier/quality + global impressions/position; clicks excluded from score
boots,https://ovidhan.net/word/boots.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
booty,https://ovidhan.net/word/booty.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
border,https://ovidhan.net/word/border.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
born,https://ovidhan.net/word/born.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
boss,https://ovidhan.net/word/boss.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
boston,https://ovidhan.net/word/boston.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
both,https://ovidhan.net/word/both.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
bottle,https://ovidhan.net/word/bottle.html,A,7,REVIEW,LEGACY — NEEDS STATIC UPGRADE,0,0,0,0,GLOBAL AGGREGATE — FRANCE CONTAMINATION POSSIBLE,NONE,Bangladesh-filtered GSC page/query export required,47.5,Phase 2B tier/quality + global impressions/position; clicks excluded from score
